0.0,25.5,-145.0999601894163,10
0.1,25.5,-145.0999203788326,20
0.2,25.5,-145.0998805682489,30
0.3,25.5,-145.0998407576652,40
0.4,25.5,-145.0998009470815,50
0.5,25.5,-145.0997611364978,60
0.6,25.5,-145.0997213259141,70
0.7,25.5,-145.0996815153304,80
0.8,25.5,-145.0996417047467,90
0.9,25.5,-145.099601894163,100
1.0,25.5,-145.0995620835793,110
1.1,25.5,-145.09952227299559,120
1.2,25.5,-145.09948246241188,130
1.3,25.5,-145.09944265182818,140
1.4,25.5,-145.09940284124448,150
1.5,25.5,-145.09936303066078,160
1.6,25.5,-145.09932322007708,170
1.7,25.5,-145.09928340949338,180
1.8,25.5,-145.09924359890968,190
1.9,25.5,-145.09920378832598,200
2.0,25.5,-145.09916397774228,210
2.1,25.5,-145.09912416715858,220
2.2,25.5,-145.09908435657488,230
2.3,25.5,-145.09904454599118,240
2.4,25.5,-145.09900473540748,250
2.5,25.5,-145.09896492482378,260
2.6,25.5,-145.09892511424007,270
2.7,25.5,-145.09888530365637,280
2.8,25.5,-145.09884549307267,290
2.9,25.5,-145.09880568248897,300
3.0,25.5,-145.09876587190527,310
3.1,25.5,-145.09872606132157,320
3.2,25.5,-145.09868625073787,330
3.3,25.5,-145.09864644015417,340
3.4,25.5,-145.09860662957047,350
3.5,25.5,-145.09856681898677,360
3.6,25.5,-145.09852700840307,370
3.7,25.5,-145.09848719781937,380
3.8,25.5,-145.09844738723567,390
3.9,25.5,-145.09840757665197,400
4.0,25.5,-145.09836776606826,410
4.1,25.5,-145.09832795548456,420
4.2,25.5,-145.09828814490086,430
4.3,25.5,-145.09824833431716,440
4.4,25.5,-145.09820852373346,450
4.5,25.5,-145.09816871314976,460
4.6,25.5,-145.09812890256606,470
4.7,25.5,-145.09808909198236,480
4.8,25.5,-145.09804928139866,490
4.9,25.5,-145.09800947081496,500
5.0,25.5,-145.09796966023126,510
5.1,25.5,-145.09792984964756,520
5.2,25.5,-145.09789003906386,530
5.3,25.5,-145.09785022848016,540
